serialno,familysize,income,race,ethnicity,numchildren,numelderly,veteran,disability,waittime,ranking,preferences
2017000000791,1,14400,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000001074,2,12000,2,0,0,0,0,1,inf,3,"[2, 3, 4, 1]"
2017000001311,2,27220,1,0,0,2,1,1,inf,1,"[2, 1, 4, 3]"
2017000001362,2,10000,2,0,0,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000002401,1,18500,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000003614,2,24300,1,0,0,2,0,1,inf,1,"[2, 4, 3, 1]"
2017000003621,1,21600,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000003695,2,14900,1,0,0,0,0,1,inf,1,"[2, 3, 1, 4]"
2017000004348,2,11200,1,0,0,2,0,1,inf,1,"[2, 1, 3, 4]"
2017000005002,4,44600,1,0,2,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000005164,1,5500,1,0,0,1,1,1,inf,1,"[1, 2, 3]"
2017000005214,2,12620,2,1,0,1,0,1,inf,1,"[2, 3, 4, 1]"
2017000005761,1,7200,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000005922,3,30670,1,0,0,0,0,1,inf,2,"[3, 2, 4, 1]"
2017000007585,3,26300,2,0,1,0,0,1,inf,2,"[3, 2, 1, 4]"
2017000007726,4,33200,1,0,2,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000007833,4,43200,8,0,1,0,0,1,inf,2,"[4, 5, 2, 3]"
2017000007992,1,15000,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000008186,7,14700,2,0,3,0,0,1,inf,1,"[6, 5]"
2017000008308,1,1600,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000009272,5,49400,2,0,3,0,0,1,inf,3,"[5, 4, 6]"
2017000009610,3,-500,2,0,2,0,0,1,inf,3,"[3, 4, 1, 2]"
2017000010330,2,17000,1,0,0,1,0,1,inf,2,"[2, 1, 4, 3]"
2017000010877,7,27300,2,0,5,0,0,1,inf,1,"[6, 5]"
2017000011683,1,15000,1,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000011746,4,36900,1,0,2,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000011934,1,12700,1,0,0,1,1,1,inf,1,"[1, 3, 2]"
2017000012716,1,5500,1,0,0,1,1,1,inf,1,"[1, 2, 3]"
2017000013134,1,15000,1,1,0,1,0,1,inf,1,"[1, 3, 2]"
2017000013673,1,19400,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000013821,1,18700,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000014053,4,39600,2,0,3,0,0,1,inf,4,"[4, 3, 2, 5]"
2017000014119,2,20800,1,0,0,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000015319,1,8800,9,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000015510,1,19600,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000015860,2,23100,1,0,0,0,0,1,inf,2,"[2, 4, 1, 3]"
2017000016521,1,15600,2,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000016606,2,12000,1,0,0,2,0,1,inf,1,"[2, 1, 4, 3]"
2017000016764,4,23800,1,0,0,0,0,1,inf,2,"[4, 5, 2, 3]"
2017000017233,5,15000,2,0,4,0,0,1,inf,3,"[5, 4, 6]"
2017000017546,2,16000,2,0,0,0,0,1,inf,3,"[2, 1, 4, 3]"
2017000017852,1,10800,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000017891,2,12200,2,0,1,0,0,1,inf,2,"[2, 4, 1, 3]"
2017000018169,9,73000,8,0,5,0,0,1,inf,1,"[6, 5]"
2017000019446,1,19000,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000019623,1,930,1,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000020017,1,19000,1,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000020237,1,15600,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000020247,3,24800,2,0,1,0,0,1,inf,1,"[3, 1, 4, 2]"
